Model,R²,RMSE,MAE
Linear Regression,1.0,3.76902879854693e-14,3.1022458485400027e-14
Gradient Boosting,0.9992138198138754,0.6477245078095971,0.4335448109367469
XGBoost,0.9992012245611046,0.6528924309613455,0.4445695000879565
Random Forest,0.9985209344323102,0.8884295517467078,0.5779610917660593
Decision Tree,0.9961843027819837,1.4269745752689715,0.943932609262307
